100,20
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120
V54,84.38,38.18,36.67,49.37,43.05,29.53,26.40,80.16,51.86,57.49,27.51,57.71,3.61,53.04,16.03,12.04,77.39,52.80,41.44,25.63,58.00,53.23,65.76,84.20,39.92,69.32,29.41,20.25,31.95,60.03,61.59,78.39,66.61,23.00,58.69,43.05,53.41,51.62,6.08,47.13,27.80,48.92,17.03,2.24,80.95,17.80,48.01,14.14,69.64,26.91,20.25,49.65,67.01,17.12,0.00,51.62,70.21,44.00,23.54,29.41,27.31,70.01,50.16,70.84,41.63,67.36,18.60,22.80,24.19,70.04,14.21,33.53,70.71,9.85,29.68,23.77,26.91,64.47,52.40,46.10,39.92,53.00,25.81,69.84,55.61,33.14,26.83,51.74,39.85,46.24,40.00,69.97,27.29,40.31,47.07,53.76,51.74,77.70,63.98,31.14,39.82,9.85,37.01,31.24,14.04,39.92,71.56,27.66,61.03,17.89,52.40,55.17,43.91,20.59,64.28,17.03,20.02,47.80,77.16,28.46,57.57
V55,35.90,63.79,72.12,32.31,34.53,80.43,65.92,85.44,76.11,52.55,29.15,65.73,52.40,1.41,64.64,52.15,76.49,85.33,30.27,30.46,78.06,17.03,70.21,33.54,52.01,71.51,46.69,63.06,26.68,41.05,70.61,81.15,39.62,38.63,7.21,39.62,5.83,32.65,55.32,24.70,61.98,5.10,42.49,53.74,35.01,56.80,65.07,41.34,30.08,24.76,32.02,64.12,46.10,43.38,51.62,0.00,79.56,37.85,72.42,23.02,27.73,48.10,43.32,32.70,53.01,41.73,70.09,72.20,69.35,18.44,52.35,46.27,19.10,60.88,80.81,33.62,78.52,24.17,2.24,41.23,51.00,81.50,53.45,74.00,70.35,40.11,77.47,75.06,88.75,54.45,84.53,75.58,34.21,64.50,48.05,54.82,2.83,82.28,66.41,82.76,73.25,48.83,60.41,20.62,62.80,22.02,78.45,43.17,14.14,68.88,75.03,76.01,94.64,71.70,40.36,40.31,66.89,26.00,25.61,28.79,26.17
V56,86.31,33.11,41.77,47.68,45.22,87.28,96.25,10.44,24.02,28.02,58.83,124.58,66.85,80.28,83.24,58.25,15.26,35.69,49.65,80.80,17.03,64.63,10.05,92.54,106.15,11.18,95.48,89.89,84.60,43.10,9.43,11.18,50.80,53.26,84.53,102.65,75.50,104.24,66.04,96.15,98.01,81.91,82.02,69.89,79.43,88.01,116.73,77.78,66.48,69.64,65.60,20.62,43.17,82.73,70.21,79.56,0.00,102.34,64.56,66.73,61.06,43.97,109.55,64.78,30.61,49.03,78.00,65.80,92.18,89.20,84.02,39.82,91.27,68.88,74.73,81.84,80.36,67.03,78.10,105.68,32.80,29.27,44.41,8.06,14.76,95.27,71.06,23.09,69.07,111.95,57.01,5.83,86.21,30.87,109.81,24.74,77.13,9.00,14.04,82.46,38.47,60.61,106.30,69.35,63.98,88.59,3.61,46.10,93.62,80.11,22.09,19.03,79.06,81.15,47.52,58.00,87.71,97.49,93.00,58.31,58.03
V57,72.00,75.96,78.64,62.01,60.11,63.56,40.80,110.60,90.25,79.91,43.60,27.89,47.04,38.64,47.76,52.77,104.06,94.59,55.90,21.93,94.85,52.39,94.81,67.36,16.55,97.31,18.36,41.59,17.80,73.24,92.91,107.30,74.71,49.65,41.05,2.24,43.42,10.63,50.01,14.04,34.83,32.76,27.02,46.01,72.34,35.85,28.44,30.07,67.72,32.80,37.12,82.86,79.61,27.07,44.00,37.85,102.34,0.00,67.19,36.12,41.40,82.15,7.21,70.21,71.87,76.54,57.01,66.27,47.51,51.16,34.21,62.77,50.36,53.15,70.83,21.84,65.15,61.68,40.02,3.61,69.64,93.30,62.63,99.02,89.55,11.40,69.05,89.69,82.87,17.03,84.00,100.00,17.46,77.62,10.20,79.51,40.26,107.62,91.68,68.95,81.25,48.84,27.46,33.94,58.01,16.55,102.42,56.82,35.51,54.41,90.08,92.20,84.90,56.92,74.43,46.24,47.42,13.15,57.56,44.20,61.27
V58,102.07,32.25,23.26,61.29,54.12,22.85,38.95,75.00,41.63,61.81,44.55,77.20,21.19,73.82,24.60,20.52,75.66,36.80,54.38,49.04,48.85,70.18,63.51,103.25,60.83,67.48,51.16,33.11,55.36,69.64,57.87,74.73,77.88,36.24,79.63,66.07,73.11,75.13,18.03,70.60,43.46,70.49,40.20,21.38,97.62,35.17,66.13,37.66,84.88,48.02,40.50,46.27,75.89,40.11,23.54,72.42,64.56,67.19,0.00,49.41,45.34,78.75,73.01,85.44,43.42,78.00,15.62,1.41,32.20,90.43,34.23,39.22,91.40,14.04,11.18,47.30,15.81,80.60,72.80,69.03,42.76,39.66,27.20,66.91,50.22,56.04,7.07,42.15,16.55,67.08,17.72,66.29,50.80,34.37,69.18,56.32,72.01,73.25,63.13,18.11,26.83,23.60,55.03,51.87,9.85,63.25,66.94,36.24,83.24,18.60,43.08,46.24,22.67,18.38,74.85,32.56,28.30,71.31,97.31,45.25,72.11
V59,55.07,44.10,50.64,27.31,24.21,58.83,48.37,74.63,57.71,43.86,8.25,61.29,29.73,24.41,43.86,29.15,67.94,65.03,20.25,16.55,61.13,24.74,58.82,54.82,43.83,61.22,34.79,44.15,18.38,39.00,57.31,71.22,42.76,17.03,30.23,36.77,24.08,37.58,32.53,29.73,46.00,21.54,25.00,31.40,52.00,38.47,56.46,22.20,41.77,4.12,9.22,48.10,45.88,26.00,29.41,23.02,66.73,36.12,49.41,0.00,6.08,48.70,43.28,43.42,36.77,44.15,48.01,49.20,50.00,41.11,33.54,28.16,42.01,38.21,58.00,18.97,56.22,36.14,23.43,39.62,34.54,62.13,32.14,63.01,54.78,31.38,54.56,56.89,65.73,48.55,61.85,64.07,22.36,45.28,44.69,43.42,22.67,71.61,55.61,60.44,52.24,25.81,48.51,3.00,39.82,21.93,66.57,23.19,34.79,47.17,57.07,58.69,71.70,49.93,41.48,17.46,46.82,31.02,48.10,8.54,31.00
V60,57.43,38.05,44.91,24.52,20.12,56.80,49.00,69.20,51.62,39.20,2.24,65.60,26.93,29.07,42.72,24.84,62.94,59.08,16.76,20.62,55.08,25.94,53.41,58.00,47.71,55.97,38.01,44.18,23.60,36.14,51.62,65.95,41.05,11.18,34.89,41.87,27.80,43.46,29.41,35.74,47.38,26.93,26.68,29.07,53.71,39.00,59.94,23.19,42.38,8.60,8.00,42.15,43.17,27.66,27.31,27.73,61.06,41.40,45.34,6.08,0.00,46.10,48.60,43.68,30.87,42.19,45.65,45.28,49.65,45.22,34.00,22.14,46.32,35.23,54.56,22.47,53.54,37.16,27.78,44.82,28.64,56.08,26.31,57.63,48.85,35.61,50.93,50.80,61.40,52.80,56.80,58.60,26.40,39.20,49.50,38.21,26.93,66.22,50.33,57.69,46.39,21.93,51.26,9.06,36.07,27.86,61.03,17.12,40.26,45.19,50.99,52.63,67.90,47.85,39.32,12.81,46.10,37.00,52.01,2.83,30.59
V61,43.05,51.31,63.81,21.59,27.02,97.16,94.53,45.10,55.23,19.80,44.72,109.13,68.12,48.17,86.02,61.66,34.00,68.59,29.43,65.19,52.43,31.11,34.18,50.09,92.31,32.98,83.49,89.20,65.74,10.05,38.47,40.05,8.94,47.01,50.22,83.35,42.52,79.65,69.35,71.22,93.38,52.35,72.78,71.06,36.06,84.59,105.11,69.23,24.52,52.81,53.94,41.01,3.00,73.76,70.01,48.10,43.97,82.15,78.75,48.70,46.10,0.00,88.75,22.20,36.72,6.71,85.84,79.40,94.02,50.70,79.63,39.56,52.92,74.67,89.84,67.68,91.98,27.31,46.01,85.76,36.67,62.29,51.55,36.14,43.60,79.71,85.73,53.81,90.80,96.61,81.12,38.33,70.94,50.22,91.79,26.17,45.28,42.19,30.46,95.57,62.43,61.20,97.12,49.77,72.57,65.73,41.23,43.57,60.22,86.47,53.15,52.01,99.92,88.68,7.81,53.00,90.00,72.62,52.63,43.74,21.93
V62,76.24,83.01,85.38,68.88,67.18,67.68,43.83,117.80,97.31,87.00,50.80,23.02,53.34,43.97,52.39,59.44,111.20,101.39,62.94,29.07,101.98,58.59,102.00,71.01,17.03,104.48,22.56,45.54,25.00,80.00,100.12,114.48,81.12,56.82,45.71,7.28,49.04,12.04,56.22,18.68,37.59,38.28,33.14,52.09,77.10,40.26,26.40,36.50,73.39,40.00,44.29,90.05,86.27,33.06,50.16,43.32,109.55,7.21,73.01,43.28,48.60,88.75,0.00,75.96,79.08,83.01,61.98,72.03,51.08,55.04,39.32,69.97,54.00,59.00,75.95,28.79,69.86,67.42,45.54,4.12,76.85,100.24,69.64,106.21,96.75,17.03,74.43,96.77,88.36,14.76,90.09,107.20,24.35,84.69,7.21,86.68,45.88,114.81,98.86,73.50,88.06,55.54,28.32,41.04,64.07,23.02,109.62,64.01,39.00,59.23,97.17,99.32,89.82,61.61,80.99,53.31,51.55,17.46,61.03,51.40,67.60
V63,21.59,64.03,75.74,24.76,31.89,100.09,91.79,67.00,71.59,37.64,43.32,98.08,70.01,32.20,86.40,65.76,56.08,84.06,31.06,58.01,70.38,19.00,54.74,28.00,83.19,54.23,76.16,87.48,56.44,22.14,57.97,62.01,14.04,49.65,32.20,71.84,26.93,65.31,72.09,57.38,89.20,37.70,68.26,72.45,14.87,81.88,96.34,65.62,2.83,47.27,51.42,57.25,22.00,69.26,70.84,32.70,64.78,70.21,85.44,43.42,43.68,22.20,75.96,0.00,49.41,16.00,88.77,85.76,93.17,29.68,76.94,48.10,31.91,77.88,95.88,61.00,96.18,8.54,30.46,73.68,48.41,78.39,59.67,57.31,61.47,70.71,91.92,70.24,99.81,86.35,91.97,59.41,63.13,63.60,80.36,43.08,30.08,64.01,50.80,100.18,75.29,63.98,90.20,43.10,77.41,53.85,62.39,49.41,41.87,88.60,69.77,69.35,107.90,91.18,17.26,54.63,89.74,58.69,30.68,42.38,13.42
V64,69.84,14.87,27.20,25.50,19.65,64.07,68.03,39.62,23.54,18.44,28.64,94.07,38.63,54.00,56.32,30.36,35.78,34.89,23.19,50.22,25.08,41.23,24.41,73.93,75.66,27.78,65.07,61.85,54.20,29.07,21.26,37.20,38.21,22.67,59.08,72.11,50.16,74.32,38.60,66.48,68.96,54.33,51.74,41.79,63.81,59.06,86.56,47.51,49.93,39.36,35.00,11.40,34.13,52.50,41.63,53.01,30.61,71.87,43.42,36.77,30.87,36.72,79.08,49.41,0.00,37.64,53.34,44.28,65.15,66.29,54.71,9.22,68.07,42.76,54.59,51.22,58.01,47.85,52.01,75.17,2.24,29.73,17.12,28.60,18.03,64.66,50.49,22.36,54.23,81.39,44.42,29.07,55.61,14.21,79.20,13.00,51.01,36.88,22.36,61.13,26.17,31.78,76.40,39.56,39.12,58.69,31.11,15.56,67.07,54.74,22.20,23.00,63.57,56.44,34.71,27.66,60.73,67.78,71.57,28.23,38.01
V65,37.34,52.50,64.82,18.03,24.52,95.34,91.09,51.00,58.01,22.83,41.05,103.79,65.76,41.73,83.38,59.91,40.11,71.06,26.02,60.44,55.95,24.84,39.05,44.00,87.32,38.33,78.85,86.00,60.54,8.60,42.72,46.01,2.24,44.55,43.60,77.83,36.07,73.60,67.27,65.22,89.56,46.10,68.73,68.59,30.41,81.10,100.24,65.38,18.11,48.27,50.16,43.60,6.00,69.72,67.36,41.73,49.03,76.54,78.00,44.15,42.19,6.71,83.01,16.00,37.64,0.00,83.95,78.55,91.09,44.01,76.11,38.91,46.24,72.78,88.96,63.06,90.52,20.62,39.60,80.13,37.20,65.00,50.99,41.44,47.01,74.67,84.86,56.61,90.92,91.39,81.84,43.57,66.10,51.66,86.31,28.84,38.90,48.01,35.17,94.25,63.78,59.03,92.65,44.92,71.17,60.03,46.53,42.06,53.60,84.34,56.04,55.23,99.73,86.68,3.16,50.36,87.21,66.61,46.10,40.05,15.62
V66,102.93,44.94,38.01,66.22,59.44,11.40,23.77,88.39,56.08,71.03,45.62,63.15,18.79,71.51,10.05,24.19,87.80,52.33,58.52,42.44,63.13,71.59,75.69,102.80,48.00,79.56,39.46,18.44,48.55,76.12,70.52,87.60,83.43,39.56,77.10,55.54,72.01,66.13,16.76,63.06,28.86,67.18,31.30,16.64,99.36,22.02,51.66,30.23,87.73,45.45,38.83,58.52,82.87,30.87,18.60,70.09,78.00,57.01,15.62,48.01,45.65,85.84,61.98,88.77,53.34,83.95,0.00,14.21,16.64,88.53,22.80,47.01,89.14,11.18,14.04,39.96,8.60,82.73,70.94,58.25,52.15,54.82,36.22,79.40,63.32,45.61,13.34,56.44,27.17,54.04,32.65,79.06,42.49,47.17,57.22,66.27,70.29,86.38,74.73,12.81,41.62,25.00,40.79,49.82,14.32,56.60,80.06,42.30,78.87,3.16,57.31,60.42,27.89,3.16,80.81,34.18,13.00,63.51,95.67,46.52,75.39
V67,102.18,33.38,24.60,61.72,54.56,21.54,37.59,76.24,42.95,62.65,44.55,75.96,20.62,73.60,23.26,20.52,76.79,38.21,54.71,48.38,50.16,70.29,64.63,103.24,59.68,68.59,50.09,31.78,54.71,70.23,59.03,75.93,78.39,36.40,79.40,65.12,73.00,74.33,17.46,69.92,42.15,70.18,39.32,20.62,97.80,33.96,64.85,36.88,85.15,47.71,40.22,47.38,76.54,39.20,22.80,72.20,65.80,66.27,1.41,49.20,45.28,79.40,72.03,85.76,44.28,78.55,14.21,0.00,30.81,90.27,33.14,39.85,91.21,13.15,10.44,46.57,14.56,80.80,72.62,68.07,43.57,41.05,27.89,68.07,51.42,55.08,6.32,43.46,17.09,65.92,18.97,67.47,50.01,35.51,68.12,57.22,71.84,74.46,64.20,17.03,28.18,23.43,53.76,51.61,9.43,62.63,68.15,36.67,82.86,17.20,44.38,47.54,22.63,16.97,75.39,32.53,26.93,70.60,97.19,45.28,72.40
V68,104.39,59.17,53.81,73.06,67.01,17.12,8.00,102.42,71.40,81.58,50.36,48.09,26.68,70.71,8.94,34.79,100.66,68.68,65.07,39.12,78.24,74.73,88.77,102.88,35.17,92.48,29.15,6.40,44.20,84.01,84.10,101.13,90.20,47.10,75.80,45.65,72.50,57.69,26.57,56.64,14.14,65.51,26.93,23.54,101.84,12.81,36.22,28.23,91.68,46.49,41.77,72.01,91.02,26.08,24.19,69.35,92.18,47.51,32.20,50.00,49.65,94.02,51.08,93.17,65.15,91.09,16.64,30.81,0.00,87.46,17.00,57.49,87.66,23.32,29.12,36.06,21.38,86.13,70.66,47.85,63.60,70.77,48.47,92.70,77.41,36.62,29.55,71.61,42.72,40.61,49.24,92.61,36.88,61.40,45.22,77.62,70.21,100.18,87.32,24.02,57.38,33.73,26.02,50.92,28.60,51.74,93.91,51.79,75.43,13.60,72.42,75.45,41.05,14.32,88.05,41.05,4.47,56.73,94.67,51.35,80.23
V69,21.38,78.75,88.24,42.05,46.69,98.86,83.63,93.38,89.82,61.20,46.32,78.06,70.72,17.03,83.01,70.00,83.20,100.28,43.17,48.37,90.67,25.18,79.31,16.28,66.91,79.76,63.25,81.12,43.86,46.87,81.01,88.65,41.79,55.57,11.66,53.24,17.49,43.10,73.59,37.12,79.31,21.95,60.54,72.14,23.71,74.79,79.51,59.64,26.93,43.14,50.25,76.66,49.65,61.40,70.04,18.44,89.20,51.16,90.43,41.11,45.22,50.70,55.04,29.68,66.29,44.01,88.53,90.27,87.46,0.00,70.49,61.03,2.24,79.21,99.09,51.48,96.94,23.41,17.69,54.04,64.54,95.80,69.78,82.61,82.30,56.04,95.67,88.65,106.61,68.18,101.71,84.48,51.48,79.12,61.03,65.00,18.44,90.26,75.33,101.18,88.96,66.84,76.40,38.90,80.92,37.64,87.46,59.09,16.12,87.32,88.46,88.96,112.81,90.14,43.97,58.01,85.15,38.05,7.21,45.79,31.26
V70,87.46,52.35,50.61,58.22,52.77,30.23,15.00,93.81,66.07,69.29,35.06,43.86,17.80,53.71,13.89,26.17,90.43,66.65,50.25,22.20,72.18,58.25,79.08,85.88,26.68,82.49,17.00,10.77,27.59,69.58,75.21,91.81,75.03,33.84,58.83,32.76,55.54,43.46,19.72,41.05,14.32,48.55,10.00,15.26,85.07,5.00,33.84,11.40,75.31,29.83,26.00,63.41,76.66,9.22,14.21,52.35,84.02,34.21,34.23,33.54,34.00,79.63,39.32,76.94,54.71,76.11,22.80,33.14,17.00,70.49,0.00,46.07,70.72,20.62,36.67,19.21,31.02,69.63,53.67,35.51,52.84,67.12,39.70,83.22,69.53,22.80,35.13,65.95,49.09,32.98,51.79,83.49,20.62,54.45,35.01,66.21,53.23,91.26,77.03,34.93,53.85,23.43,22.80,34.21,26.25,35.38,85.21,39.81,58.80,20.25,66.60,69.35,50.70,22.85,73.17,27.86,14.87,41.34,77.70,36.06,64.28
V71,67.20,17.72,28.02,23.35,16.28,58.14,59.81,48.80,30.02,24.19,19.92,84.86,30.81,47.38,48.84,23.09,44.42,39.29,18.36,41.05,32.98,36.67,33.42,70.33,66.47,36.62,55.90,53.76,45.18,30.46,30.48,46.23,38.95,13.45,52.77,62.97,44.15,65.55,31.26,57.87,60.37,47.00,42.64,33.96,61.72,50.57,77.47,38.42,48.10,30.46,25.81,20.12,36.69,43.42,33.53,46.27,39.82,62.77,39.22,28.16,22.14,39.56,69.97,48.10,9.22,38.91,47.01,39.85,57.49,61.03,46.07,0.00,62.64,36.01,50.29,42.01,52.61,45.00,45.54,66.04,7.07,35.23,12.08,37.64,26.83,55.44,46.17,29.07,52.15,72.18,43.86,38.21,46.40,18.25,70.00,20.25,44.55,46.01,31.06,56.09,28.18,23.77,67.42,31.05,33.24,49.98,40.31,6.40,60.07,48.04,29.15,30.59,60.83,50.00,35.78,18.60,53.15,59.14,66.85,19.65,35.47
V72,22.80,80.36,89.69,44.01,48.51,99.36,83.65,95.52,91.59,63.29,47.51,77.01,71.51,17.69,83.41,71.03,85.38,101.92,44.91,48.55,92.54,27.07,81.39,17.03,66.29,81.88,62.97,81.30,43.83,49.03,83.02,90.80,44.01,56.82,12.04,52.47,18.79,42.01,74.41,36.35,79.20,22.20,60.75,72.84,25.55,74.95,78.77,60.00,29.15,43.86,51.09,78.52,51.87,61.59,70.71,19.10,91.27,50.36,91.40,42.01,46.32,52.92,54.00,31.91,68.07,46.24,89.14,91.21,87.66,2.24,70.72,62.64,0.00,79.98,99.90,51.62,97.59,25.63,18.60,53.15,66.29,97.51,71.18,84.72,84.21,55.66,96.54,90.43,107.65,67.36,102.96,86.58,51.43,80.78,60.13,67.01,19.42,92.40,77.41,101.83,90.48,67.80,75.96,39.70,81.84,37.34,89.56,60.54,15.00,87.86,90.26,90.80,113.70,90.69,46.17,59.08,85.45,37.22,7.28,47.01,33.38
V73,92.66,35.85,31.24,55.08,48.27,22.56,28.28,79.16,48.27,60.13,34.99,64.26,8.49,62.29,14.42,13.04,77.79,46.87,47.43,35.47,55.00,61.06,65.79,92.96,47.30,69.57,37.34,21.93,41.79,64.94,60.93,78.00,72.28,28.46,68.01,52.04,62.29,61.19,5.83,56.92,31.62,58.41,26.17,7.62,88.84,22.36,53.67,23.77,76.92,36.12,29.00,48.85,71.70,26.08,9.85,60.88,68.88,53.15,14.04,38.21,35.23,74.67,59.00,77.88,42.76,72.78,11.18,13.15,23.32,79.21,20.62,36.01,79.98,0.00,20.00,33.53,18.36,72.07,61.52,55.01,41.44,48.17,25.71,69.64,54.12,42.01,17.00,48.41,30.08,53.60,31.26,69.46,36.88,38.08,55.33,55.58,60.81,76.97,64.56,22.47,34.71,13.93,42.49,40.31,5.83,49.77,70.68,31.14,70.72,12.04,49.20,52.20,34.13,14.04,69.63,23.26,18.87,57.57,86.27,35.85,64.47
V74,111.83,43.05,32.98,72.01,64.88,14.87,36.88,85.15,51.24,72.99,54.04,76.79,28.43,82.22,24.00,30.23,86.37,44.42,64.88,55.01,58.52,80.00,74.24,112.54,62.01,78.23,53.46,32.14,61.27,80.65,68.47,85.16,88.77,46.32,87.97,69.43,82.02,79.70,25.50,76.16,42.43,78.41,44.60,27.46,107.65,36.06,65.12,42.95,95.19,56.08,48.84,57.08,86.98,44.27,29.68,80.81,74.73,70.83,11.18,58.00,54.56,89.84,75.95,95.88,54.59,88.96,14.04,10.44,29.12,99.09,36.67,50.29,99.90,20.00,0.00,52.80,8.06,90.70,81.39,72.18,53.94,48.33,38.33,77.52,60.67,59.44,4.12,51.92,13.60,68.01,21.93,76.79,55.71,45.10,71.25,67.48,80.66,83.55,74.03,8.06,36.40,32.65,54.45,60.21,18.60,69.32,77.28,47.01,90.70,17.00,52.89,56.04,14.32,15.13,85.80,42.01,26.31,76.69,106.10,54.82,82.49
V75,69.26,54.23,56.89,46.24,42.54,48.92,32.31,90.61,68.54,61.61,24.41,43.28,26.31,34.93,32.56,31.14,85.04,72.78,38.91,3.16,73.36,42.00,74.97,67.12,25.24,77.79,15.81,29.68,8.60,57.94,72.47,87.68,61.61,28.60,39.82,21.54,37.36,28.07,29.43,23.41,28.64,29.53,9.22,25.96,67.47,23.32,37.58,9.85,59.03,14.87,16.28,61.85,64.85,10.00,23.77,33.62,81.84,21.84,47.30,18.97,22.47,67.68,28.79,61.00,51.22,63.06,39.96,46.57,36.06,51.48,19.21,42.01,51.62,33.53,52.80,0.00,48.55,53.08,35.11,24.70,49.04,71.47,40.85,79.21,68.51,13.45,50.33,68.03,63.60,30.48,63.29,79.98,4.47,55.95,28.02,60.21,34.79,87.73,72.14,52.70,59.44,27.17,29.61,18.25,37.66,16.64,82.22,35.81,39.62,38.01,68.45,70.66,67.12,40.80,60.44,24.60,34.06,24.04,58.67,25.24,49.37
V76,110.94,47.85,39.00,73.05,66.10,7.21,29.27,90.80,57.38,76.16,53.34,69.35,26.63,79.93,17.46,30.68,91.24,51.61,65.55,51.04,64.62,79.40,79.08,111.04,55.23,83.02,47.30,25.02,57.14,82.46,73.55,90.47,90.14,46.62,85.56,63.60,80.28,74.46,24.19,71.59,35.06,75.69,39.82,24.84,107.19,29.61,57.56,38.83,95.26,53.81,47.01,61.81,89.05,39.36,26.91,78.52,80.36,65.15,15.81,56.22,53.54,91.98,69.86,96.18,58.01,90.52,8.60,14.56,21.38,96.94,31.02,52.61,97.59,18.36,8.06,48.55,0.00,90.43,79.31,66.22,57.08,55.07,41.11,82.57,65.97,53.76,10.00,57.94,21.54,61.07,29.73,82.00,51.00,50.01,64.78,71.01,78.64,89.02,78.52,4.24,42.54,32.20,47.10,58.14,19.42,65.19,82.71,48.51,87.46,10.77,58.87,62.03,20.10,8.25,87.36,41.59,19.00,72.01,104.06,54.20,82.76
V77,22.20,61.91,73.01,22.36,28.84,93.94,84.34,70.46,70.94,39.12,37.12,89.56,63.95,23.71,79.71,60.46,60.02,82.73,26.91,50.04,70.60,11.40,57.01,26.25,74.81,57.08,68.03,80.28,48.17,24.02,59.41,65.62,18.38,44.41,24.08,63.32,18.38,56.80,66.24,48.85,81.50,29.15,60.67,66.21,17.03,74.53,87.97,58.25,6.08,39.81,44.60,56.92,26.25,61.66,64.47,24.17,67.03,61.68,80.60,36.14,37.16,27.31,67.42,8.54,47.85,20.62,82.73,80.80,86.13,23.41,69.63,45.00,25.63,72.07,90.70,53.08,90.43,0.00,21.93,65.15,46.53,77.47,55.90,60.03,61.85,62.39,86.84,69.64,95.59,77.88,88.53,62.01,55.01,61.77,71.84,43.74,21.54,67.36,53.01,94.51,72.95,58.31,82.05,35.51,72.11,45.35,65.01,45.25,33.94,82.35,69.29,69.26,103.23,85.00,20.62,48.88,82.86,50.16,26.08,36.24,9.85
V78,34.21,63.15,71.78,30.68,33.24,81.40,67.42,83.82,75.24,50.92,29.07,67.91,53.04,2.24,65.73,52.43,74.73,84.72,29.07,31.95,77.01,15.00,68.68,32.25,54.04,69.89,48.51,64.40,28.44,39.12,69.23,79.48,37.48,38.48,7.28,41.77,3.61,34.89,55.90,26.93,63.60,7.28,43.86,54.49,33.06,58.18,67.12,42.54,27.86,25.50,32.56,63.03,44.05,44.78,52.40,2.24,78.10,40.02,72.80,23.43,27.78,46.01,45.54,30.46,52.01,39.60,70.94,72.62,70.66,17.69,53.67,45.54,18.60,61.52,81.39,35.11,79.31,21.93,0.00,43.42,50.04,80.75,53.14,72.42,69.18,42.05,77.99,74.17,89.05,56.57,84.53,74.04,35.90,63.79,50.22,53.37,1.00,80.65,64.85,83.55,72.80,49.20,62.29,21.21,63.25,24.08,76.92,42.72,15.52,69.81,74.11,75.01,95.13,72.62,38.29,40.50,68.10,28.23,24.76,28.64,24.08
V79,75.03,78.92,81.25,65.60,63.66,64.26,40.82,114.02,93.23,83.44,47.01,24.52,49.25,41.98,48.76,55.32,107.56,97.27,59.46,25.06,97.94,55.95,98.23,70.18,15.00,100.77,18.97,42.15,21.26,76.84,96.26,110.75,78.29,52.84,44.18,3.16,46.84,12.08,52.15,17.03,34.67,36.14,29.07,48.04,75.54,36.69,25.96,32.39,71.17,36.24,40.31,86.09,83.22,29.02,46.10,41.23,105.68,3.61,69.03,39.62,44.82,85.76,4.12,73.68,75.17,80.13,58.25,68.07,47.85,54.04,35.51,66.04,53.15,55.01,72.18,24.70,66.22,65.15,43.42,0.00,72.95,96.14,65.55,102.45,92.78,13.00,70.58,92.70,84.48,14.32,86.05,103.41,20.25,80.62,7.00,82.98,43.68,111.04,95.13,69.92,83.93,51.42,26.25,37.48,60.03,20.12,105.80,60.03,38.21,55.54,93.11,95.27,86.12,57.97,78.03,49.24,48.10,16.00,60.30,47.63,64.85
V80,68.60,15.62,27.66,24.19,18.03,63.01,66.31,41.73,25.32,19.10,26.40,91.93,37.00,52.01,54.82,28.86,37.59,36.25,21.38,48.01,27.17,39.56,26.40,72.50,73.54,29.68,62.97,60.17,51.97,28.60,23.43,39.20,37.64,20.52,57.14,69.89,48.26,72.09,37.11,64.26,67.12,52.24,49.68,40.16,62.68,57.25,84.50,45.45,48.83,37.12,32.80,13.60,34.00,50.45,39.92,51.00,32.80,69.64,42.76,34.54,28.64,36.67,76.85,48.41,2.24,37.20,52.15,43.57,63.60,64.54,52.84,7.07,66.29,41.44,53.94,49.04,57.08,46.53,50.04,72.95,0.00,31.32,16.00,30.61,20.25,62.48,49.82,24.19,54.13,79.25,44.65,31.14,53.41,15.26,77.01,14.14,49.04,38.95,24.19,60.30,26.91,30.08,74.40,37.34,38.01,56.46,33.24,13.45,65.03,53.46,24.08,25.02,63.32,55.23,34.21,25.61,59.20,65.55,69.92,26.00,36.72
